,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award,KStdCluster
0,28143,0,1,1,1,174,1,0,0,7000,0,3
1,19244,0,1,1,1,215,2,0,0,6968,0,3
2,41354,0,1,1,1,4123,4,0,0,7034,0,3
3,14776,0,1,1,1,500,1,0,0,6952,0,3
4,97752,0,4,1,1,43300,26,2077,4,6935,1,4
5,16420,0,1,1,1,0,0,0,0,6942,0,3
6,84914,0,3,1,1,27482,25,0,0,6994,0,1
7,20856,0,1,1,1,5250,4,250,1,6938,1,0
8,443003,0,3,2,1,1753,43,3850,12,6948,1,6
9,104860,0,3,1,1,28426,28,1150,3,6931,1,4
10,40091,0,2,1,1,7278,10,0,0,6959,0,1
11,96522,0,5,1,1,61105,19,0,0,6924,1,4
12,43382,0,2,1,1,11150,20,0,0,6924,0,1
13,43097,0,1,1,1,3258,6,0,0,6918,0,3
14,17648,0,1,1,1,0,0,0,0,6912,0,3
15,28495,0,4,1,1,49442,15,0,0,6912,1,4
16,51890,0,4,1,1,48963,16,0,0,6910,1,4
17,13958,0,1,1,1,4291,5,0,0,6905,1,0
18,91473,0,3,1,1,27408,17,0,0,6903,1,0
19,23354,0,3,1,1,10447,5,0,0,6896,1,0
20,120576,0,5,1,1,58831,23,250,2,6896,1,4
21,185681,2024,1,1,1,13300,16,1800,9,6896,1,0
22,20584,0,1,1,1,3450,11,3450,11,6884,0,3
23,66275,0,1,1,1,2533,11,150,1,6884,0,3
24,205651,500,1,1,1,4025,21,700,4,7932,0,1
25,20726,0,1,1,1,1375,4,0,0,7924,0,3
26,18521,0,1,1,1,1227,2,1227,2,7917,0,3
27,8828,0,1,1,1,0,0,0,0,7914,0,3
28,59763,0,3,1,1,33772,20,100,1,7907,1,4
29,19221,0,1,1,1,4655,8,500,1,7896,1,0
30,177926,0,3,1,1,20797,13,0,0,7886,0,1
31,10021,0,1,1,1,0,0,0,0,7879,0,3
32,276571,0,4,1,1,42044,23,0,0,7872,0,4
33,18047,0,1,1,1,100,1,0,0,7868,0,3
34,43832,0,1,1,1,0,0,0,0,7865,0,3
35,123759,0,4,1,1,50572,23,2500,5,7865,1,4
36,23193,0,1,1,1,650,4,550,3,7861,1,0
37,68666,0,1,1,1,350,2,350,2,7861,0,3
38,59990,0,3,1,1,27878,17,0,0,7854,1,0
39,2176,0,1,1,1,0,0,0,0,7847,1,0
40,34616,0,1,1,1,1750,4,500,1,7850,0,3
41,10470,0,4,1,1,38094,26,0,0,7840,1,4
42,60313,0,1,1,1,10000,26,3250,9,7829,1,0
43,619393,0,3,1,1,15008,14,0,0,7819,1,4
44,121260,0,3,1,1,18493,18,0,0,7808,0,1
45,288865,967,1,1,1,23600,14,2000,4,6884,1,0
46,92336,0,2,1,1,11214,6,0,0,6884,0,1
47,36924,0,1,1,1,5900,6,300,2,6879,1,0
48,70312,0,3,1,1,34678,24,500,1,6875,1,4
49,17051,0,1,1,1,1150,4,1150,4,6868,0,3
50,108137,0,1,1,1,6368,5,6368,5,6844,0,2
51,1300,0,1,1,1,370,1,0,0,6868,0,3
52,118531,0,4,1,1,44577,38,0,0,6868,1,4
53,121395,0,1,1,1,4970,8,650,2,6889,1,0
54,38348,0,1,1,1,0,0,0,0,6861,0,3
55,14448,0,1,1,1,1625,6,0,0,6856,0,3
56,75971,0,4,1,1,34339,14,0,0,6869,0,1
57,36298,0,1,1,1,3100,5,600,3,6865,1,0
58,38077,0,3,1,1,34024,8,0,0,6837,0,1
59,95118,0,3,1,1,23188,23,2200,7,6865,1,4
60,134457,0,3,1,1,15588,14,0,0,6861,0,1
61,19918,0,1,1,1,17601,11,0,0,6863,0,3
62,10120,0,1,1,1,0,0,0,0,6864,0,3
63,362642,0,1,1,1,28079,8,0,0,6835,0,1
64,80250,0,1,1,1,895,2,0,0,6833,0,3
65,53914,0,3,1,1,33767,45,5550,29,6826,1,2
66,9375,0,1,1,1,1750,7,0,0,6826,0,3
67,83237,0,4,1,1,35287,18,0,0,6837,0,1
68,230715,0,3,1,1,24047,12,0,0,6826,1,4
69,47457,0,3,1,1,12621,16,0,0,7766,1,0
70,84409,5031,2,1,1,15436,16,1150,4,7766,0,1
71,252386,0,4,1,1,39787,13,0,0,7787,0,1
72,550367,0,3,1,1,12500,13,50,1,7801,0,1
73,12646,0,1,1,1,631,4,631,4,7787,0,3
74,123867,0,3,1,1,25308,17,0,0,7759,0,1
75,129871,0,3,1,1,15776,22,0,0,7752,0,1
76,109380,0,1,1,1,7537,16,0,0,7749,0,1
77,111157,0,4,1,1,32883,19,0,0,7771,0,1
78,49238,0,4,1,1,38037,18,0,0,7801,1,4
79,38896,0,5,1,1,76988,16,556,1,7771,1,4
80,4340,0,1,1,1,32685,5,0,0,7733,1,0
81,88443,0,1,1,1,1200,3,1200,3,6837,0,3
82,8454,0,1,1,1,498,9,0,0,6821,0,3
83,61990,0,1,1,1,1625,6,0,0,6833,0,3
84,24093,0,1,1,1,1750,7,0,0,6819,0,3
85,35418,0,5,1,1,58557,18,900,3,6813,1,4
86,40284,0,1,1,1,7719,5,0,0,6827,1,0
87,609477,0,3,1,1,21422,22,1200,8,6820,0,4
88,62553,0,2,1,1,7672,16,700,1,6819,0,1
89,48433,0,1,1,1,3500,4,500,1,6807,1,0
90,20508,0,1,1,1,22250,8,1250,5,6794,1,0
91,2000,0,1,1,1,2000,4,2000,4,6809,0,3
92,78629,0,4,1,1,36679,25,0,0,6817,1,4
93,143566,0,1,1,1,5000,5,1500,3,6785,1,0
94,185549,0,5,1,1,110859,39,2950,16,6778,1,2
95,16796,0,1,1,1,2875,16,0,0,6773,0,3
96,57346,0,1,1,1,5560,23,0,0,6766,0,1
97,102062,0,4,1,1,44247,16,0,0,6758,0,1
98,22324,0,1,1,1,1375,4,0,0,6753,0,3
99,64824,0,3,1,1,20184,13,0,0,6770,1,0
100,25076,1182,5,1,1,57203,14,0,0,6750,1,4
101,8053,0,1,1,1,0,0,0,0,6750,1,0
102,35119,0,1,1,1,0,0,0,0,6749,0,3
103,28667,0,1,1,1,3861,7,2050,5,6749,1,0
104,34327,0,1,1,1,0,0,0,0,6745,0,3
105,3734,0,5,1,1,61096,18,150,2,6760,1,4
106,96627,1182,1,1,3,49059,26,2300,9,6738,1,5
107,43498,0,1,1,1,0,0,0,0,6759,1,0
108,84674,0,4,1,1,46335,14,50,1,6738,1,4
109,15098,0,4,1,1,32917,26,550,3,6737,1,4
110,181019,0,3,1,1,18415,15,0,0,7714,0,1
111,298911,0,1,1,1,8550,11,2550,8,7714,1,0
112,124198,0,5,1,1,66330,23,4833,10,7710,0,2
113,56906,0,1,1,1,2015,13,0,0,7707,1,0
114,295638,0,1,1,1,5422,20,818,2,7700,1,0
115,67018,0,3,1,1,23260,25,0,0,7698,0,1
116,143967,0,2,1,1,7346,11,0,0,7689,0,1
117,969559,0,1,1,1,2500,3,1000,2,7718,1,4
118,122705,0,3,1,1,24222,15,0,0,7682,1,0
119,16583,0,1,1,1,2625,7,0,0,7682,1,0
120,77540,0,1,1,1,1000,1,0,0,7683,0,3
121,205126,0,5,1,1,126630,45,2250,10,7668,1,4
122,81974,0,4,1,1,37266,18,1050,3,7661,1,4
123,47258,0,3,1,1,24768,19,0,0,7659,1,0
124,77699,0,4,1,1,42775,13,0,0,7654,0,1
125,133954,500,4,1,1,37670,18,1500,3,7654,1,4
126,602064,0,5,1,1,194753,26,2250,10,7652,1,4
127,213150,0,4,1,1,56308,41,5200,14,7645,1,2
128,48333,0,2,1,1,10123,14,0,0,6737,1,0
129,142175,0,4,1,1,37461,22,0,0,6732,1,4
130,17469,0,1,1,1,0,0,0,0,6730,1,0
131,19823,0,1,1,1,1095,3,335,1,6730,1,0
132,145074,0,1,1,1,8000,4,0,0,6746,1,0
133,101101,0,1,1,1,10850,11,1850,6,6725,1,0
134,125948,0,3,1,1,15155,15,0,0,6761,1,0
135,259484,1776,1,1,1,19172,26,7172,23,6723,1,2
136,129298,0,4,1,1,29099,15,0,0,6722,0,1
137,103302,0,4,1,1,53552,22,700,3,6718,1,4
138,160447,0,1,1,1,8578,25,0,0,6716,1,0
139,15472,0,1,1,1,3500,14,0,0,6715,0,3
140,39628,0,1,1,1,0,0,0,0,6711,0,3
141,6112,0,1,1,1,0,0,0,0,6709,0,3
142,31769,0,1,1,1,450,2,450,2,6707,0,3
143,126787,0,4,1,1,35021,17,0,0,6701,0,1
144,41547,0,3,1,1,16857,17,0,0,6697,0,1
145,100640,0,1,1,1,7600,8,1600,5,6708,1,0
146,18707,0,1,1,1,100,1,0,0,6693,0,3
147,50593,0,5,1,1,58208,17,1500,2,6689,1,4
148,84631,0,3,1,1,20415,17,0,0,6736,0,1
149,24868,0,1,1,1,205,5,0,0,6689,0,3
150,77097,0,4,1,1,42403,22,1718,4,6683,1,4
151,930410,0,5,1,1,211284,18,2250,6,7640,1,4
152,298121,0,5,1,1,60808,20,500,1,7640,0,4
153,87474,0,1,1,1,4581,15,0,0,7634,0,1
154,48707,0,4,1,1,37655,14,0,0,7631,1,4
155,220081,0,4,1,1,52574,21,500,1,7626,0,4
156,212976,0,3,1,1,19926,12,0,0,7624,0,1
157,44182,0,3,1,1,12313,12,0,0,7619,1,0
158,228829,0,5,1,1,59852,21,0,0,7612,1,4
159,46823,0,1,1,1,5860,12,0,0,7613,0,3
160,69110,0,3,1,1,18500,19,0,0,7598,0,1
161,120700,0,5,1,1,55323,17,1500,1,7598,1,4
162,152945,0,1,1,1,18604,6,3604,2,7598,1,0
163,10302,0,4,1,1,30298,19,0,0,7591,1,4
164,80331,0,3,1,1,15489,18,0,0,7634,1,0
165,69882,0,1,1,1,180,6,0,0,7582,0,3
166,95658,0,1,1,1,5269,18,0,0,7584,0,1
167,402874,0,5,1,1,74800,15,0,0,7582,1,4
168,370941,0,4,1,1,44615,16,0,0,7577,1,4
169,21694,0,4,1,1,45230,20,700,2,7575,1,4
170,71767,0,5,1,1,67335,13,0,0,7570,1,4
171,35820,0,1,1,1,0,0,0,0,7575,0,3
172,352508,0,3,1,1,23740,6,1000,2,7563,1,4
173,149285,0,1,1,1,15656,13,3250,6,7561,1,0
174,120941,0,4,1,1,42301,21,0,0,7588,0,1
175,451673,0,4,1,1,43533,19,900,4,7575,1,4
176,106961,0,1,1,1,7357,19,200,2,7572,1,0
177,28086,1745,2,1,1,7368,12,0,0,7549,1,0
178,60230,0,1,1,1,500,1,0,0,7544,1,0
179,6663,0,1,1,1,1125,7,750,4,7575,1,0
180,48145,0,1,1,1,10735,27,0,0,7540,0,1
181,127807,0,3,1,1,17086,16,1500,3,7537,1,0
182,32948,0,1,1,1,50,1,50,1,7569,0,3
183,8933,0,2,1,1,8860,14,0,0,7533,1,0
184,49885,0,3,1,1,23640,17,0,0,7533,0,1
185,89999,0,3,1,1,11694,13,0,0,7530,0,1
186,707079,0,4,1,1,57173,40,3450,12,7523,1,2
187,211595,0,1,1,1,3250,8,0,0,7521,0,1
188,410795,0,5,1,1,73679,31,0,0,7514,0,4
189,72173,0,1,1,1,2954,13,232,1,7509,0,1
190,123516,0,5,1,1,240544,31,500,2,7507,1,4
191,143080,733,4,1,1,44373,38,3928,17,7575,1,2
192,386061,0,5,1,1,107813,24,0,0,7500,1,4
193,52738,2398,1,1,1,0,0,0,0,7498,0,3
194,24523,0,1,1,1,100,1,0,0,7493,1,0
195,134601,0,1,1,1,0,0,0,0,7493,0,3
196,32742,0,5,1,1,61857,26,0,0,7488,1,4
197,108341,0,3,1,1,19670,21,0,0,7488,0,1
198,8669,0,1,3,1,11397,16,0,0,7486,1,6
199,118940,0,4,1,1,36001,17,150,1,7484,1,4
